Date,Open,High,Low,Close,Adj Close,Volume
2002-07-29,81.750000,84.099998,81.519997,83.849998,44.032013,113300
2002-08-05,84.040001,84.879997,83.220001,84.879997,44.572884,243100
2002-08-12,85.300003,87.900002,84.820000,85.059998,44.667412,409600
2002-08-19,85.050003,86.290001,84.709999,85.900002,45.108513,182600
2002-08-26,85.699997,87.129997,85.199997,87.080002,45.728184,557600
2002-09-02,87.080002,88.650002,87.000000,87.459999,45.927692,956800
2002-09-09,87.500000,88.940002,86.750000,88.779999,46.821445,796000
2002-09-16,89.199997,89.769997,88.360001,89.300003,47.095703,568400
2002-09-23,90.000000,90.940002,88.610001,90.040001,47.485977,1269500
2002-09-30,90.660004,90.900002,88.400002,89.510002,47.206470,807200
2002-10-07,89.900002,90.519997,88.059998,88.379997,46.788033,1886500
2002-10-14,88.500000,88.550003,84.279999,85.370003,45.194538,1133100
2002-10-21,85.500000,85.599998,84.080002,85.379997,45.199848,953400
2002-10-28,85.559998,86.930000,85.199997,85.980003,45.517456,892500
2002-11-04,85.480003,88.650002,84.910004,88.440002,47.030724,977400
2002-11-11,88.550003,89.150002,86.260002,87.110001,46.323441,897700
2002-11-18,87.019997,88.230003,85.860001,86.040001,45.754429,899400
2002-11-25,86.000000,87.019997,84.959999,85.550003,45.493885,1023300
2002-12-02,84.360001,87.089996,84.150002,86.169998,45.823570,1174600
2002-12-09,86.199997,87.650002,86.169998,86.529999,46.225182,1277300
2002-12-16,86.900002,87.559998,85.680000,87.379997,46.679306,773600
2002-12-23,87.360001,89.029999,86.250000,89.029999,47.560741,274500
2002-12-30,88.900002,89.330002,85.830002,86.480003,46.198517,887600
2003-01-06,86.169998,87.139999,85.019997,85.540001,45.925865,648200
2003-01-13,85.540001,87.239998,85.400002,86.949997,46.682861,437400
2003-01-20,86.879997,88.440002,86.800003,87.970001,47.230537,610600
2003-01-27,87.900002,88.209999,86.980003,88.059998,47.278835,1117500
2003-02-03,87.669998,88.699997,87.309998,88.419998,47.472137,703500
2003-02-10,88.120003,89.180000,87.430000,87.809998,47.310101,1726900
2003-02-17,87.559998,88.900002,87.339996,88.300003,47.574097,1012400
2003-02-24,88.879997,90.540001,88.620003,90.470001,48.743210,1769500
2003-03-03,90.000000,90.790001,89.910004,90.559998,48.791725,843000
2003-03-10,90.809998,91.360001,89.519997,89.959999,48.651299,2105900
2003-03-17,90.519997,90.519997,86.050003,86.050003,46.536747,2588100
2003-03-24,87.099998,88.080002,86.849998,87.750000,47.456123,1734700
2003-03-31,88.300003,88.930000,86.879997,87.050003,47.077534,1676300
2003-04-07,86.220001,87.860001,85.919998,87.260002,47.392651,1285800
2003-04-14,87.099998,88.400002,86.709999,87.989998,47.789097,539500
2003-04-21,87.480003,89.099998,87.260002,88.919998,48.294197,1219300
2003-04-28,89.089996,89.599998,88.269997,88.320000,47.968327,1014100
2003-05-05,88.309998,90.900002,88.199997,90.580002,49.457340,1192600
2003-05-12,91.139999,93.760002,90.730003,93.720001,51.171776,3533200
2003-05-19,94.110001,96.209999,93.120003,95.849998,52.334755,4490800
2003-05-26,95.620003,95.709999,93.309998,94.599998,51.652275,2807400
2003-06-02,93.879997,95.379997,93.089996,94.139999,51.401108,2359800
2003-06-09,94.699997,97.279999,94.269997,97.180000,53.285126,2244400
2003-06-16,97.500000,97.660004,93.029999,93.750000,51.404415,3517900
2003-06-23,93.820000,95.489998,91.550003,92.070000,50.483261,4275300
2003-06-30,91.919998,92.519997,90.599998,90.599998,49.677227,1888800
2003-07-07,90.279999,90.790001,89.629997,90.790001,49.972122,2232900
2003-07-14,90.680000,90.870003,87.150002,87.699997,48.271336,6423800
2003-07-21,87.500000,87.599998,85.400002,85.559998,47.093460,6193800
2003-07-28,85.239998,85.349998,81.980003,82.510002,45.414700,13138800
2003-08-04,82.480003,84.790001,81.800003,83.660004,46.258495,11016900
2003-08-11,83.550003,83.650002,80.910004,82.000000,45.340603,7274700
2003-08-18,82.300003,83.870003,82.010002,83.370003,46.098061,3442200
